更新时间: 2025-12-17 19:28:13（北京时间）

更新时间,#genre#
2025-12-17 19:28:13,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://61.159.134.134:18000/rtp/238.255.2.91:5999$贵州电信
CCTV1,http://116.9.0.196:4000/rtp/239.81.0.102:4056$广西电信
CCTV1,http://182.123.208.170:12345/rtp/225.1.4.73:1102$河南联通
CCTV1,http://115.171.216.39:4000/rtp/225.1.8.1:8008$北京市电信
CCTV1,http://112.254.55.106:22222/udp/239.253.254.77:8000$山东联通
CCTV1,http://123.117.161.44:8118/rtp/239.3.1.129:8008$北京市联通
CCTV1,http://58.37.164.51:4000/udp/239.45.1.21:5140$上海市电信
CCTV1,http://58.37.164.51:4000/udp/239.45.3.145:5140$上海市电信
CCTV1,http://113.213.97.251:6565/rtp/239.253.142.160:3000$吉林联通
CCTV1,http://113.213.97.251:6565/rtp/239.253.142.195:3000$吉林联通
CCTV1,http://106.87.49.127:8888/rtp/235.254.198.51:1480$重庆市电信
CCTV1,http://111.199.0.19:4022/rtp/239.3.1.129:8008$北京市联通
CCTV1,http://39.65.207.32:1025/udp/239.253.254.77:8000$山东联通
CCTV2,http://61.159.134.134:18000/rtp/238.255.2.11:5999$贵州电信
CCTV2,http://116.9.0.196:4000/rtp/239.81.0.115:4056$广西电信
CCTV2,http://182.123.208.170:12345/rtp/225.1.4.74:1103$河南联通
CCTV2,http://115.171.216.39:4000/rtp/225.1.8.2:8084$北京市电信
CCTV2,http://112.254.55.106:22222/udp/239.253.254.232:8000$山东联通
CCTV2,http://123.117.161.44:8118/rtp/239.3.1.60:8084$北京市联通
CCTV2,http://58.37.164.51:4000/udp/239.45.0.1:5140$上海市电信
CCTV2,http://58.37.164.51:4000/udp/239.45.3.208:5140$上海市电信
CCTV2,http://113.213.97.251:6565/rtp/239.253.142.201:3000$吉林联通
CCTV2,http://106.87.49.127:8888/rtp/235.254.198.52:1484$重庆市电信
CCTV2,http://111.199.0.19:4022/rtp/239.3.1.60:8084$北京市联通
CCTV2,http://39.65.207.32:1025/udp/239.253.254.232:8000$山东联通
CCTV3,http://61.159.134.134:18000/rtp/238.255.2.133:5999$贵州电信
CCTV3,http://116.9.0.196:4000/rtp/239.81.0.231:4056$广西电信
CCTV3,http://182.123.208.170:12345/rtp/225.1.4.158:1194$河南联通
CCTV3,http://115.171.216.39:4000/rtp/225.1.8.88:8000$北京市电信
CCTV3,http://112.254.55.106:22222/udp/239.253.254.191:8000$山东联通
CCTV3,http://123.117.161.44:8118/rtp/239.3.1.172:8001$北京市联通
CCTV3,http://58.37.164.51:4000/udp/239.45.1.68:5140$上海市电信
CCTV3,http://113.213.97.251:6565/rtp/239.253.142.115:3000$吉林联通
CCTV3,http://106.87.49.127:8888/rtp/235.254.198.53:1488$重庆市电信
CCTV3,http://111.199.0.19:4022/rtp/239.3.1.172:8001$北京市联通
CCTV3,http://39.65.207.32:1025/udp/239.253.254.191:8000$山东联通
CCTV4,http://61.159.134.134:18000/rtp/238.255.2.92:5999$贵州电信
CCTV4,http://116.9.0.196:4000/rtp/239.81.0.96:4056$广西电信
CCTV4,http://182.123.208.170:12345/rtp/225.1.5.30:1333$河南联通
CCTV4,http://115.171.216.39:4000/rtp/225.1.8.4:8092$北京市电信
CCTV4,http://112.254.55.106:22222/udp/239.253.254.187:8000$山东联通
CCTV4,http://123.117.161.44:8118/rtp/239.3.1.105:8092$北京市联通
CCTV4,http://58.37.164.51:4000/udp/239.45.0.2:5140$上海市电信
CCTV4,http://113.213.97.251:6565/rtp/239.253.142.251:3000$吉林联通
CCTV4,http://106.87.49.127:8888/rtp/235.254.198.183:7980$重庆市电信
CCTV4,http://111.199.0.19:4022/rtp/239.3.1.105:8092$北京市联通
CCTV4,http://39.65.207.32:1025/udp/239.253.254.187:8000$山东联通
CCTV4欧洲,http://61.159.134.134:18000/rtp/238.255.2.213:5999$贵州电信
CCTV4欧洲,http://182.123.208.170:12345/rtp/225.1.5.31:1342$河南联通
CCTV4欧洲,http://123.117.161.44:8118/rtp/239.3.1.213:4220$北京市联通
CCTV4欧洲,http://113.213.97.251:6565/rtp/239.253.142.239:3000$吉林联通
CCTV4欧洲,http://111.199.0.19:4022/rtp/239.3.1.213:4220$北京市联通
CCTV4美洲,http://61.159.134.134:18000/rtp/238.255.2.214:5999$贵州电信
CCTV4美洲,http://182.123.208.170:12345/rtp/225.1.5.32:1343$河南联通
CCTV4美洲,http://123.117.161.44:8118/rtp/239.3.1.214:4220$北京市联通
