更新时间: 2026-09-24 22:27:35（北京时间）

更新时间,#genre#
2026-09-24 22:27:35,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV1,http://60.25.223.160:85/tsfile/live/33/1007.m3u8?key=txiptv
CCTV1,http://125.42.151.205:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://172.16.0.200:8008/paiptv/cctv1.m3u8
CCTV2,http://60.25.223.160:85/tsfile/live/37/1008.m3u8?key=txiptv
CCTV2,http://125.42.151.205:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://172.16.0.200:8008/paiptv/cctv2.m3u8
CCTV3,http://60.25.223.160:85/tsfile/live/41/1009.m3u8?key=txiptv
CCTV3,http://125.42.151.205:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://172.16.0.200:8008/paiptv/cctv3.m3u8
CCTV4,http://60.25.223.160:85/tsfile/live/45/1010.m3u8?key=txiptv
CCTV4,http://125.42.151.205:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://172.16.0.200:8008/paiptv/cctv4.m3u8
CCTV5,http://60.25.223.160:85/tsfile/live/49/1011.m3u8?key=txiptv
CCTV5,http://125.42.151.205:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://172.16.0.200:8008/paiptv/cctv5.m3u8
CCTV6,http://60.25.223.160:85/tsfile/live/53/1012.m3u8?key=txiptv
CCTV6,http://125.42.151.205:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://172.16.0.200:8008/paiptv/cctv6.m3u8
CCTV7,http://60.25.223.160:85/tsfile/live/57/1013.m3u8?key=txiptv
CCTV7,http://125.42.151.205:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://172.16.0.200:8008/paiptv/cctv7.m3u8
CCTV8,http://60.25.223.160:85/tsfile/live/61/1014.m3u8?key=txiptv
CCTV8,http://125.42.151.205:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://172.16.0.200:8008/paiptv/cctv8.m3u8
CCTV9,http://60.25.223.160:85/tsfile/live/65/1015.m3u8?key=txiptv
CCTV9,http://125.42.151.205:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://172.16.0.200:8008/paiptv/cctv9.m3u8
CCTV10,http://60.25.223.160:85/tsfile/live/69/1016.m3u8?key=txiptv
CCTV10,http://125.42.151.205:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://172.16.0.200:8008/paiptv/cctv10.m3u8
CCTV11,http://60.25.223.160:85/tsfile/live/73/1017.m3u8?key=txiptv
CCTV11,http://125.42.151.205:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://172.16.0.200:8008/paiptv/cctv11.m3u8
CCTV12,http://60.25.223.160:85/tsfile/live/77/1018.m3u8?key=txiptv
CCTV12,http://125.42.151.205:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://172.16.0.200:8008/paiptv/cctv12.m3u8
CCTV13,http://60.25.223.160:85/tsfile/live/81/1019.m3u8?key=txiptv
CCTV13,http://125.42.151.205:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://172.16.0.200:8008/paiptv/cctv13.m3u8
CCTV14,http://60.25.223.160:85/tsfile/live/85/1020.m3u8?key=txiptv
CCTV14,http://125.42.151.205:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://172.16.0.200:8008/paiptv/cctv14.m3u8
CCTV15,http://60.25.223.160:85/tsfile/live/89/1021.m3u8?key=txiptv
CCTV15,http://125.42.151.205:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://172.16.0.200:8008/paiptv/cctv15.m3u8
CCTV17,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8
CCTV17,http://172.16.0.200:8008/paiptv/cctv17.m3u8
卫视频道,#genre#
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
湖南卫视,http://60.25.223.160:85/tsfile/live/105/1025.m3u8?key=txiptv
湖南卫视,http://125.42.151.205:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://172.16.0.200:8008/paiptv/hnws.m3u8
浙江卫视,http://60.25.223.160:85/tsfile/live/113/1027.m3u8?key=txiptv
浙江卫视,http://172.16.0.200:8008/paiptv/zjws.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
江苏卫视,http://60.25.223.160:85/tsfile/live/117/1028.m3u8?key=txiptv
江苏卫视,http://125.42.151.205:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://172.16.0.200:8008/paiptv/jsws.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
东方卫视,http://60.25.223.160:85/tsfile/live/109/1026.m3u8?key=txiptv
东方卫视,http://125.42.151.205:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://172.16.0.200:8008/paiptv/dfws.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
深圳卫视,http://60.25.223.160:85/tsfile/live/141/1034.m3u8?key=txiptv
深圳卫视,http://125.42.151.205:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://172.16.0.200:8008/paiptv/szws.m3u8
北京卫视,http://60.25.223.160:85/tsfile/live/121/1029.m3u8?key=txiptv
北京卫视,http://125.42.151.205:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://172.16.0.200:8008/paiptv/bjws.m3u8
广东卫视,http://60.25.223.160:85/tsfile/live/137/1033.m3u8?key=txiptv
广东卫视,http://125.42.151.205:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://172.16.0.200:8008/paiptv/gdws.m3u8
广西卫视,http://144.123.220.47:80/wh7f454c46tw111685212_1092286008/2/00/CHANNEL00000038/2540800/1.m3u8
广西卫视,http://60.25.223.160:85/tsfile/live/173/1042.m3u8?key=txiptv
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
东南卫视,http://125.42.151.205:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://172.16.0.200:8008/paiptv/dnws.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8
海南卫视,http://60.25.223.160:85/tsfile/live/185/1045.m3u8?key=txiptv
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000330/index.m3u8
河北卫视,http://60.25.223.160:85/tsfile/live/149/1036.m3u8?key=txiptv
河北卫视,http://172.16.0.200:8008/paiptv/hbws1.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
河南卫视,http://60.25.223.160:85/tsfile/live/145/1035.m3u8?key=txiptv
河南卫视,http://125.42.151.205:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
